,track_name,rating
55,"St. Matthew Passion, BWV 244: Pt. I: No. 1, Chorus. Kommt, ihr Tochter, helft mir klagen (Chorus, Soprano in ripieno)",5
56,"Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)",4
57,"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: I. Vivace",3
58,"Flute Sonata in C Major, BWV 1033: II. Allegro",3
59,"Goldberg Variations, BWV 988: Variation 4 a 1 Clav.",3
60,"Goldberg Variations, BWV 988: Variation 5 a 1 ovvero 2 Clav.",2
61,"Goldberg Variations, BWV 988: Variation 9 a 1 Clav. Canone alla Terza",2
62,"Goldberg Variations, BWV 988: Variation 14 a 2 Clav.",3
63,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",4
64,"Weihnachts-Oratorium, BWV 248, Pt. 2: Schlafe, mein Liebster",2
65,"Harpsichord Concerto in E Major, BWV 1053: I. Allegro",4
66,"Weihnachts-Oratorium, BWV 248, Pt. 1: Jauchzet, frohlocket",2
67,Nun danket alle Gott BWV 386,3
68,"Concerto in D Minor for Two Violins, BWV 1043: Concerto in D Minor for Two Violins, BWV 1043: II. Largo ma non tanto",4
69,"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",3
70,"Prelude No. 3 in C# Major from The Well-Tempered Clavier Book I, BWV 848",3
71,"Keyboard Concerto in A Major, BWV 1055: I. Allegro",4
72,"Brandenburg Concerto No. 3 in G Major, BWV 1048: II. [Adagio]",5
73,"Mass in B Minor, BWV 232: Sanctus & Benedictus - Sanctus (Chorus)",3
74,"Brandenburg Concerto No. 3 in G Major, BWV 1048: I. [Allegro]",3
75,"Brandenburg Concerto No.5 in D, BWV 1050: 1. Allegro",3
76,"Sonata No. 2 for Violin & Harpsichord in A Major, BWV 1015: IV. Presto",4
77,"Keyboard Concerto No. 5 in F Minor, BWV 1056: I. [Allegro]",4
78,"The Well-Tempered Clavier, Book 2: Prelude No. 1 in C Major, BWV 870/1",5
79,"The Well-Tempered Clavier, Book 2: Fugue No. 22 in B-Flat Minor, BWV 891/2",2
80,"Suite No.2 In B Minor, BWV 1067: 2. Rondeau",4
81,"Suite No.2 In B Minor, BWV 1067: 6. Polonaise - 6a. Double",4
82,"Brandenburg Concerto No.5 in D, BWV 1050: 2. Affetuoso",4
83,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"": Var. 23 a 2 Clav.",3
84,"Partita No. 1 in B-Flat Major, BWV 825: I. Prelude",3
85,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 20 a 2 Clav.",3
86,"The Well-Tempered Clavier: Book 1, BWV 846-869: Prelude in D Major, BWV 850 (Arr. Badzura)",4
87,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 8 a 2 Clav.",3
88,"Mache dich, mein Geist, bereit, BWV 115: IV. Air ""Bete aber auch dabei""",3
89,"French Suite No.2 in C minor, BWV 813: 4. Air",5
90,"Jauchzet Gott in allen Landen Cantata, BWV 51 (Additional Instrumentation By W.F. Bach): 1. ""Jauchzet Gott in allen Landen""",2
91,"Von Himmel hoch, da komm' ich her, BWV 606",4
92,"Jesu meine Freude Motet, BWV 227: So nun der Geist",5
93,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for String Trio by Dmitry Sitkovetsky: Var. 18 Canone alla Sesta a 1 Clav.",3
94,"Aria mit 30 Veränderungen, BWV 988 ""Goldberg Variations"" - Arranged for Harp by Catrin Finch: Var. 22 Alla breve a 1 Clav.",3
95,"Cello Suite No. 1 in G Major, BWV 1007: III. Courante",3
96,"Cello Suite No. 1 in G Major, BWV 1007: V. Menuetts I & II",3
97,"French Suite No.4 in E flat, BWV 815: 1. Allemande",4
98,"Suite for Cello Solo No.1 in G, BWV 1007 - Transcribed for Solo Guitar by Göran Söllscher: 6. Gigue",4
99,"Sonata for Flute or Violin No.4 in C, BWV 1033: 4. Menuet I - II",3
